OBJECTID,Linear_Distance_km_,Latitude,Longitude,HS,UCL,LCL,Resistencia,Distancia_area,porcen_cobertura,Dist_rios,Dist_corred,Altitud,NDVI,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_1,HOTSP
370,15.24,5.814120607,-75.68426291,5.133607,5.133607,-4.776832,356.8311,8797.7031,46,92.6723,5035.1001,584,0.630502999,0.093668543,0.076980338,0.053903516,0.301447153,0.154877231,295.9920959,296.2725525,0.057648364,0.174097657,2,0
371,15.281,5.814427003,-75.68447287,5.176358,5.176358,-4.743492,357.3009,8770.5156,51,92.6723,5025.71,584,0.632088006,0.09441451,0.086209595,0.060700171,0.313972563,0.178945482,295.9920959,296.1311035,0.069333225,0.183133543,2,0
372,15.322,5.8147334,-75.68468283,4.286657,5.189491,-4.741685,354.495,8743.5088,82,92.6723,5025.71,588,0.666217983,0.092406809,0.078153193,0.052552376,0.297654986,0.149834305,295.4803772,295.5640564,0.055539012,0.168603569,2,0
373,15.364,5.815039796,-75.68489279,4.299596,5.203632,-4.740766,362.8131,8716.4805,100,92.6723,5018.0146,588,0.678124011,0.092168182,0.076550081,0.052859217,0.291066468,0.145205796,295.2233887,295.4216309,0.05510224,0.161956459,2,0
374,15.405,5.815346193,-75.68510276,4.289294,5.194208,-4.759849,366.9978,8689.6924,100,185.3446,4925.6001,588,0.659999013,0.093595743,0.080149695,0.057699308,0.260837197,0.145378873,295.7362366,295.9896851,0.059311248,0.150874838,2,0
375,15.446,5.815652589,-75.68531272,4.266144,5.171138,-4.783801,354.4971,8662.9854,86,92.6723,4925.6001,584,0.628911972,0.096619263,0.086249307,0.063203789,0.282768756,0.169479609,296.5016785,296.5547791,0.073032513,0.16200982,2,0
376,15.487,5.815954103,-75.68553122,4.300241,5.205174,-4.749088,337.9156,8635.3701,60,92.6723,4919.4937,588,0.667584002,0.09701471,0.087978445,0.065636866,0.304148555,0.193318099,296.7554016,296.8363342,0.076472357,0.176083744,2,0
377,15.529,5.816255617,-75.68574851,4.26533,5.169002,-4.771386,319.014,8608.2236,44,131.0584,4919.4937,582,0.607940018,0.098265931,0.087724663,0.064804941,0.285729587,0.176162794,296.5016785,296.8363342,0.073004916,0.166742489,2,0
378,15.57,5.81655713,-75.68596701,4.283808,5.187565,-4.753762,290.068,8580.9297,18,92.6723,4826.9727,582,0.607567012,0.098656572,0.089717828,0.068952926,0.276599139,0.171426445,296.5016785,296.8363342,0.073118828,0.160544544,2,0
379,15.611,5.816835451,-75.68621115,4.317786,5.222224,-4.726592,269.7581,8551.0645,16,92.6723,4822.5225,582,0.599853992,0.098148175,0.084984109,0.06456136,0.277146369,0.162033439,296.5016785,296.4136658,0.069655865,0.163511902,2,0
380,15.652,5.817100343,-75.68647116,4.348204,5.253325,-4.703011,304.5307,8519.8262,47,92.6723,4822.5225,583,0.682852983,0.097223908,0.085987523,0.064667523,0.276637852,0.16255419,296.5016785,296.1311035,0.071346283,0.15909481,2,0
381,15.694,5.817365236,-75.68673117,4.384261,5.290474,-4.677874,327.8983,8488.5723,72,0,4729.9199,583,0.622982025,0.095849648,0.087142043,0.063476227,0.289387077,0.18460317,296.5016785,296.2725525,0.076024979,0.167144433,2,0
382,15.735,5.817631349,-75.6869924,4.460678,5.369536,-4.627908,333.0923,8457.1621,48,0,4727.1958,583,0.583860993,0.099561237,0.088777572,0.068488933,0.289288789,0.186787575,295.9920959,295.9896851,0.079201706,0.170081213,2,0
383,15.776,5.817897462,-75.68725241,5.99267,5.051905,-5.296504,320.6999,8426.1895,51,0,4727.1958,598,0.569301009,0.096493997,0.087633193,0.06468875,0.291875333,0.188890949,295.9920959,295.9896851,0.078790687,0.16794768,2,1
